coupler_frequency_ghz,static_zz_khz
# Source: Collodo et al., Phys. Rev. Lett. 125, 240502 (2020), Fig. 2(a).
# Dataset: https://doi.org/10.3929/ethz-b-000502238 (CC BY 4.0).
# The source header says Hz, but its values align with the published kHz axis and measured kHz data; stored here as kHz.
8.702878524003461,-1130.77804
8.7027137530409,-1096.91083
8.702237361376202,-1064.45039
8.70144934078777,-1033.28881
8.700349679930504,-1003.32901
8.698938364335785,-974.48353
8.697215376411549,-946.673319
8.695180695441154,-919.826823
8.692834297586659,-893.879128
8.690176155892903,-868.771231
8.687206240291566,-844.449404
8.683924517607204,-820.864635
8.680330951565084,-797.97214
8.676425502800107,-775.730937
8.672208128867995,-754.103469
8.667678784257252,-733.055266
8.662837420404117,-712.554657
8.657683985709246,-692.572507
8.652218425554787,-673.081989
8.646440682327198,-654.058374
8.640350695439098,-635.478852
8.633948401356863,-617.322372
8.627233733627687,-599.569492
8.620206622913019,-582.202253
8.612866997023788,-565.204062
8.605214780958914,-548.559591
8.59724989694843,-532.254682
8.588972264501068,-516.276266
8.580381800455228,-500.612287
8.571478419035703,-485.251641
8.562262031915587,-470.184112
8.552732548283267,-455.400323
8.542889874917845,-440.891686
8.53273391626513,-426.650363
8.522264574529853,-412.669231
8.511481749766206,-398.941849
8.50038533998354,-385.462426
8.488975241256735,-372.225806
8.477251347847771,-359.227438
8.465213552337529,-346.463369
8.452861745767715,-333.930221
8.44019581779511,-321.625187
8.427215656858923,-309.546024
8.41392115036035,-297.69104
8.400312184858759,-286.059105
8.386388646281684,-274.64964
8.372150420153039,-263.462629
8.357597391839088,-252.498622
8.342729446813914,-241.758744
8.3275464709463,-231.24471
8.31204835080826,-220.958838
8.296234974009636,-210.904067
8.28010622955666,-201.083981
8.263662008240612,-191.502831
8.24690220305528,-182.165563
8.229826709648469,-173.077854
8.21243542680717,-164.246144
8.1947282569808,-155.677675
8.176705106846747,-147.380542
8.158365887915746,-139.363735
8.139710517190052,-131.6372
8.120738917867198,-124.211893
8.101451020101678,-117.099856
8.081846761825286,-110.314279
8.061926089630084,-103.86959
8.04168895972255,-97.7815396
