bias_z,frequency_ghz,mean_centered_abs_response
# Source: Zhang et al., Phys. Rev. Applied 24, 034003 (2025), Fig. 2 data.
# Dataset: https://doi.org/10.5281/zenodo.16791932 (CC BY 4.0).
# Modified: file-wise mean subtraction, absolute value, and restriction to the two comparison windows.
0.55,4.730000,9.76295639834
0.55,4.725000,3.29710725164
0.55,4.720000,6.76411958144
0.55,4.715000,8.69636495514
0.55,4.710000,8.14550507444
0.55,4.655000,2.81552622808
0.55,4.650000,3.44192242778
0.55,4.645000,3.46731981618
0.55,4.640000,16.2456656472
0.55,4.635000,76.4634789538
0.55,4.630000,10.8550051441
0.55,4.625000,23.6206039387
0.55,4.620000,16.9097026651
0.55,4.615000,4.93155201322
0.55,4.610000,8.73399828922
0.55,4.605000,8.09775533032
0.55,4.600000,13.3175469584
0.55,4.595000,63.0319519518
0.55,4.590000,38.0554209258
0.55,4.585000,7.03525146952
0.55,4.580000,7.80406739878
0.55,4.575000,1.96967924468
0.55,4.570000,6.19271233718
0.55,4.565000,4.01241224068
0.55,4.560000,5.14827880458
0.55,4.555000,3.42345407358
0.55,4.550000,2.25859273658
0.55,4.545000,5.39330937018
0.55,4.540000,4.26040350308
0.55,4.535000,5.06690264978
0.55,4.530000,2.60123551492
0.55,4.525000,1.54412666522
0.55,4.520000,3.16408539838
0.55,4.515000,1.08220113948
0.55,4.510000,4.70926080288
0.55,4.505000,3.47807862988
0.55,4.500000,9.10943055098
0.55,4.495000,4.45976741488
0.55,4.490000,2.83832969458
0.55,4.485000,4.35973161128
0.55,4.480000,4.56594864168
0.55,4.475000,0.541691769479
0.55,4.470000,0.445338453279
0.55,4.465000,2.26649541188
0.55,4.460000,4.94257646508
0.55,4.455000,7.88951242798
0.55,4.450000,4.23361998118
0.55,4.445000,4.39616657038
0.55,4.440000,0.0465798258786
0.55,4.435000,3.27289220468
0.55,4.430000,3.61650035038
0.55,4.425000,3.07213978208
0.55,4.420000,5.63414764498
0.55,4.415000,4.91297890618
0.55,4.410000,2.18713232198
0.55,4.405000,2.17498697848
0.55,4.400000,3.76962881628
0.55,4.395000,5.86361936338
0.55,4.390000,0.990713699421
0.55,4.385000,3.77107884198
0.55,4.380000,1.70105128898
0.55,4.375000,8.09055895708
0.55,4.370000,0.369874000279
0.55,4.365000,2.62907457928
0.55,4.360000,3.45375301338
0.55,4.355000,1.76834415638
0.55,4.350000,3.70108945728
0.55,4.345000,6.35998280248
0.55,4.340000,4.90674549648
0.55,4.335000,4.91981731438
0.55,4.330000,0.967109035779
0.55,4.325000,2.94204568148
0.55,4.320000,6.04042713648
0.55,4.315000,2.79611877508
0.55,4.310000,2.71074109788
0.55,4.305000,5.14504450998
0.56,4.945000,10.3738973819
0.56,4.940000,14.0503576977
0.56,4.935000,8.35205980388
0.56,4.930000,8.18535023328
0.56,4.925000,14.5958417835
0.56,4.920000,12.9878575538
0.56,4.915000,11.6365964395
0.56,4.910000,11.3604063185
0.56,4.905000,9.36429681848
0.56,4.900000,12.3627866042
0.56,4.895000,18.6619772197
0.56,4.890000,9.07040439558
0.56,4.885000,9.54353913088
0.56,4.880000,12.9813541082
0.56,4.875000,13.4633711754
0.56,4.870000,16.8987471706
0.56,4.865000,16.9228010187
0.56,4.860000,14.5061385352
0.56,4.855000,20.7835098172
0.56,4.850000,21.8411535451
0.56,4.845000,24.5579145786
0.56,4.840000,32.8150476988
0.56,4.835000,37.5876599848
0.56,4.830000,34.8109278978
0.56,4.825000,34.4253739238
0.56,4.820000,50.2427682468
0.56,4.815000,46.7354801228
0.56,4.810000,51.6357954428
0.56,4.805000,67.5251862508
0.56,4.800000,62.9045330738
0.56,4.800000,2.44230503282
0.56,4.795000,6.79426785332
0.56,4.790000,9.03118925172
0.56,4.785000,13.7410304314
0.56,4.780000,21.0689862316
0.56,4.780000,1.90716771994
0.56,4.775000,4.07462480834
0.56,4.770000,1.84370585436
0.56,4.765000,15.6075361995
0.56,4.760000,36.6982676013
0.56,4.755000,31.4851008983
0.56,4.750000,3.23759640744
0.56,4.745000,2.48407166904
0.56,4.740000,10.306459705
0.56,4.735000,8.83154561614
0.56,4.730000,5.00435631834
0.56,4.725000,8.63832495324
0.56,4.720000,4.71361346264
0.56,4.715000,11.870849372
0.56,4.710000,2.55063827596
0.56,4.655000,1.21637695118
0.56,4.650000,1.77243152158
0.56,4.645000,0.989384373021
0.56,4.640000,15.1568324867
0.56,4.635000,78.9740769138
0.56,4.630000,5.60827650242
0.56,4.625000,28.8745779208
0.56,4.620000,9.14957113432
0.56,4.615000,7.04822291912
0.56,4.610000,8.19409693072
0.56,4.605000,11.1082292174
0.56,4.600000,17.5254964665
0.56,4.595000,20.6244770343
0.56,4.590000,30.6310022758
0.56,4.585000,48.4887881028
0.56,4.580000,26.0862065168
0.56,4.575000,9.61334383822
0.56,4.570000,0.268730613479
0.56,4.565000,2.81484438248
0.56,4.560000,3.26403302758
0.56,4.555000,3.95525606318
0.56,4.550000,3.31946935012
0.56,4.545000,1.39250407158
0.56,4.540000,4.19425898498
0.56,4.535000,7.13227134648
0.56,4.530000,0.133328882721
0.56,4.525000,0.806900666021
0.56,4.520000,0.288067541321
0.56,4.515000,1.67286959248
0.56,4.510000,0.421533012179
0.56,4.505000,0.732678083179
0.56,4.500000,6.22656038758
0.56,4.495000,3.83877697158
0.56,4.490000,6.70025820978
0.56,4.485000,3.54428202828
0.56,4.480000,8.70764285248
0.56,4.475000,3.41431539318
0.56,4.470000,3.10559711342
0.56,4.465000,0.133799660679
0.56,4.460000,6.39904139868
0.56,4.455000,3.87406624618
0.56,4.450000,5.05284758158
0.56,4.445000,2.46195574778
0.56,4.440000,0.118899933179
0.56,4.435000,3.89545227138
0.56,4.430000,4.71478666248
0.56,4.425000,4.66768249888
0.56,4.420000,4.65259483828
0.56,4.415000,5.29503489668
0.56,4.410000,1.92257085468
0.56,4.405000,1.54301287268
0.56,4.400000,0.719382925021
0.56,4.395000,0.312196778579
0.56,4.390000,1.10634753462
0.56,4.385000,0.387059490221
0.56,4.380000,4.77770887938
0.56,4.375000,0.668339823679
0.56,4.370000,1.48736097468
0.56,4.365000,1.73266321732
0.56,4.360000,1.67000944712
0.56,4.355000,1.03533310028
0.56,4.350000,7.43722400578
0.56,4.345000,3.40468683218
0.56,4.340000,3.91369385778
0.56,4.335000,5.29798315018
0.56,4.330000,0.235125170879
0.56,4.325000,3.16197266308
0.56,4.320000,5.60459447168
0.56,4.315000,0.637551473179
0.56,4.310000,3.94446405868
0.56,4.305000,2.39595153758
0.57,4.945000,11.4361859799
0.57,4.940000,9.48963120808
0.57,4.935000,10.2573147274
0.57,4.930000,10.5053439746
0.57,4.925000,12.713511631
0.57,4.920000,12.680686335
0.57,4.915000,10.6799935734
0.57,4.910000,12.3101558705
0.57,4.905000,5.56729278798
0.57,4.900000,8.80394086118
0.57,4.895000,11.5769376349
0.57,4.890000,9.21625441578
0.57,4.885000,11.2524093179
0.57,4.880000,9.73238669678
